freq,s_adj,age,sex,unit,geo\TIME_PERIOD	2023-01 	2023-02 	2023-03 	2023-04 	2023-05 	2023-06 	2023-07 	2023-08 	2023-09 	2023-10 	2023-11 	2023-12 
M,SA,TOTAL,M,PC_ACT,CH	3.9 	3.9 	3.8 	3.8 	3.8 	3.8 	3.7 	3.7 	3.9 	: 	: 	: 
M,SA,TOTAL,M,PC_ACT,CY	5.7 	5.8 	5.9 	6.1 	6.2 	6.2 	6.3 	6.2 	6.3 	6.3 	6.4 	: 
M,SA,TOTAL,M,PC_ACT,CZ	2.0 	2.1 	2.3 	2.1 	2.1 	2.5 	2.1 	2.2 	2.5 	2.3 	2.0 	: 
M,SA,TOTAL,M,PC_ACT,DE	3.1 	3.1 	3.1 	3.1 	3.2 	3.2 	3.2 	3.3 	3.3 	3.3 	3.3 	: 
M,SA,TOTAL,M,PC_ACT,DK	4.4 	5.6 	4.5 	5.0 	5.0 	4.5 	5.4 	3.6 	4.4 	4.9 	4.1 	: 
M,SA,TOTAL,M,PC_ACT,EA20	6.3 	6.2 	6.2 	6.2 	6.1 	6.1 	6.2 	6.2 	6.2 	6.2 	6.1 	: 
M,SA,TOTAL,M,PC_ACT,EE	5.3 	5.6 	6.3 	6.3 	6.2 	6.8 	7.0 	6.9 	5.9 	5.9 	5.8 	: 
M,SA,TOTAL,M,PC_ACT,EL	8.5 	8.3 	8.3 	8.7 	8.3 	8.4 	8.5 	8.3 	8.0 	7.6 	7.5 	: 
M,SA,TOTAL,M,PC_ACT,ES	11.4 	11.2 	10.8 	10.5 	10.4 	10.4 	10.5 	10.4 	10.5 	10.4 	10.3 	: 
M,SA,TOTAL,M,PC_ACT,EU27_2020	5.8 	5.8 	5.7 	5.7 	5.7 	5.7 	5.8 	5.7 	5.7 	5.7 	5.7 	: 
M,SA,TOTAL,M,PC_ACT,FI	7.3 	7.3 	7.4 	7.2 	7.9 	8.4 	8.2 	8.2 	8.2 	7.9 	8.5 	: 
M,SA,TOTAL,M,PC_ACT,FR	7.4 	7.4 	7.4 	7.4 	7.4 	7.4 	7.4 	7.4 	7.3 	7.3 	7.2 	: 
M,SA,TOTAL,M,PC_ACT,HR	5.8 	5.6 	5.6 	5.6 	5.7 	5.8 	5.9 	5.8 	5.8 	5.7 	5.6 	: 
M,SA,TOTAL,M,PC_ACT,HU	3.8 	3.8 	3.8 	3.9 	3.9 	4.0 	3.9 	4.0 	3.9 	4.1 	4.1 	: 
M,SA,TOTAL,M,PC_ACT,IE	4.3 	4.2 	4.2 	4.3 	4.4 	4.7 	4.6 	4.7 	4.9 	5.0 	5.0 	5.1 
M,SA,TOTAL,M,PC_ACT,IS	3.3 	6.3 	4.0 	2.7 	3.8 	4.0 	3.6 	3.0 	5.2 	3.8 	3.2 	: 
M,SA,TOTAL,M,PC_ACT,IT	7.0 	7.0 	6.9 	7.1 	6.8 	6.7 	6.9 	6.8 	6.7 	6.8 	6.7 	: 
M,SA,TOTAL,M,PC_ACT,JP	2.6 	2.9 	3.0 	2.7 	2.7 	2.8 	2.7 	2.9 	2.8 	2.6 	2.7 	: 
M,SA,TOTAL,M,PC_ACT,LT	7.1 	7.3 	7.4 	6.6 	6.3 	6.2 	6.9 	7.6 	7.8 	7.4 	7.5 	: 
M,SA,TOTAL,M,PC_ACT,LU	4.8 	4.8 	4.9 	4.8 	4.9 	5.0 	5.0 	5.2 	5.5 	5.5 	5.7 	: 
M,SA,TOTAL,M,PC_ACT,LV	7.5 	7.0 	6.9 	7.4 	7.8 	8.0 	8.0 	7.9 	7.8 	7.7 	7.8 	: 
M,SA,TOTAL,M,PC_ACT,MT	3.3 	3.2 	3.1 	2.8 	2.5 	2.3 	2.3 	2.4 	2.5 	2.4 	2.3 	: 
M,SA,TOTAL,M,PC_ACT,NL	3.2 	3.3 	3.3 	3.1 	3.2 	3.3 	3.5 	3.5 	3.6 	3.5 	3.5 	: 
M,SA,TOTAL,M,PC_ACT,NO	3.6 	3.8 	3.7 	3.6 	3.1 	3.5 	3.7 	3.8 	3.7 	3.9 	3.9 	: 
M,SA,TOTAL,M,PC_ACT,PL	2.8 	2.7 	2.7 	2.7 	2.8 	2.8 	2.8 	2.8 	2.8 	2.8 	2.8 	: 
M,SA,TOTAL,M,PC_ACT,PT	6.5 	6.5 	6.5 	6.2 	6.0 	6.0 	6.1 	5.9 	6.2 	6.2 	6.3 	: 
M,SA,TOTAL,M,PC_ACT,RO	5.9 	5.7 	5.9 	5.8 	5.9 	5.9 	5.8 	5.8 	5.8 	5.7 	5.8 	: 
M,SA,TOTAL,M,PC_ACT,SE	7.1 	7.5 	7.2 	7.1 	7.4 	8.0 	6.8 	7.7 	7.6 	7.9 	7.9 	: 
M,SA,TOTAL,M,PC_ACT,SI	3.3 	3.5 	3.7 	4.0 	4.0 	3.9 	3.7 	3.6 	3.7 	4.0 	4.1 	: 
M,SA,TOTAL,M,PC_ACT,SK	6.0 	6.0 	5.9 	5.9 	5.8 	5.8 	5.8 	5.7 	5.7 	5.7 	5.7 	: 
M,SA,TOTAL,M,PC_ACT,TR	7.8 	8.7 	8.1 	8.0 	7.7 	7.7 	7.5 	7.4 	7.4 	7.0 	: 	: 
M,SA,TOTAL,M,PC_ACT,US	3.6 	3.6 	3.6 	3.5 	3.7 	3.7 	3.6 	4.0 	4.1 	4.1 	4.0 	: 
M,SA,TOTAL,T,PC_ACT,AT	5.1 	4.9 	4.5 	5.1 	4.7 	5.1 	5.7 	5.4 	5.5 	5.1 	4.9 	: 
M,SA,TOTAL,T,PC_ACT,BE	5.6 	5.6 	5.6 	5.6 	5.6 	5.6 	5.3 	5.3 	5.4 	5.6 	5.6 	: 
M,SA,TOTAL,T,PC_ACT,BG	4.0 	4.1 	4.2 	4.3 	4.4 	4.5 	4.5 	4.5 	4.4 	4.4 	4.3 	: 
M,SA,TOTAL,T,PC_ACT,CH	4.1 	4.1 	4.0 	3.9 	3.9 	4.0 	4.0 	4.0 	4.2 	: 	: 	: 
M,SA,TOTAL,T,PC_ACT,CY	6.6 	6.5 	6.3 	6.2 	6.1 	6.1 	6.1 	6.0 	5.9 	5.9 	5.8 	: 
M,SA,TOTAL,T,PC_ACT,CZ	2.5 	2.5 	2.6 	2.7 	2.5 	2.8 	2.7 	2.5 	2.7 	2.8 	2.4 	: 
M,SA,TOTAL,T,PC_ACT,DE	3.0 	2.9 	2.9 	2.9 	3.0 	3.0 	3.0 	3.0 	3.1 	3.1 	3.1 	: 
M,SA,TOTAL,T,PC_ACT,DK	4.4 	5.3 	4.7 	5.0 	4.8 	4.8 	5.5 	4.3 	4.7 	5.3 	4.8 	: 
M,SA,TOTAL,T,PC_ACT,EA20	6.7 	6.6 	6.5 	6.5 	6.5 	6.4 	6.5 	6.5 	6.5 	6.5 	6.4 	: 
M,SA,TOTAL,T,PC_ACT,EE	5.2 	5.3 	6.0 	6.2 	6.7 	7.1 	7.4 	7.3 	6.5 	6.2 	6.1 	: 
M,SA,TOTAL,T,PC_ACT,EL	11.4 	11.5 	11.3 	11.6 	11.2 	11.0 	11.0 	10.6 	10.1 	9.4 	9.4 	: 
M,SA,TOTAL,T,PC_ACT,ES	13.0 	12.9 	12.5 	12.1 	11.9 	11.9 	12.0 	11.9 	12.0 	12.0 	11.9 	: 
M,SA,TOTAL,T,PC_ACT,EU27_2020	6.1 	6.1 	6.0 	6.0 	5.9 	6.0 	6.0 	6.0 	6.0 	6.0 	5.9 	: 
M,SA,TOTAL,T,PC_ACT,FI	7.1 	6.6 	6.6 	7.1 	7.1 	7.2 	7.4 	7.3 	7.4 	7.5 	7.6 	: 
M,SA,TOTAL,T,PC_ACT,FR	7.1 	7.1 	7.1 	7.2 	7.3 	7.3 	7.4 	7.4 	7.3 	7.3 	7.3 	: 
M,SA,TOTAL,T,PC_ACT,HR	6.5 	6.3 	6.2 	6.2 	6.3 	6.4 	6.5 	6.5 	6.5 	6.4 	6.4 	: 
M,SA,TOTAL,T,PC_ACT,HU	3.8 	3.8 	3.8 	3.9 	3.9 	3.9 	4.0 	4.0 	4.0 	4.1 	4.1 	: 
M,SA,TOTAL,T,PC_ACT,IE	4.2 	4.1 	4.1 	4.1 	4.2 	4.4 	4.4 	4.5 	4.7 	4.8 	4.8 	4.9 
M,SA,TOTAL,T,PC_ACT,IS	3.0 	4.8 	3.1 	2.3 	3.3 	2.7 	3.4 	2.9 	4.2 	3.3 	3.1 	: 
M,SA,TOTAL,T,PC_ACT,IT	8.0 	7.9 	7.8 	7.8 	7.7 	7.5 	7.7 	7.5 	7.6 	7.7 	7.5 	: 
M,SA,TOTAL,T,PC_ACT,JP	2.4 	2.6 	2.8 	2.6 	2.6 	2.5 	2.7 	2.7 	2.6 	2.5 	2.5 	: 
M,SA,TOTAL,T,PC_ACT,LT	6.8 	7.3 	7.6 	6.5 	6.1 	5.8 	6.3 	6.7 	6.9 	6.5 	6.5 	: 
M,SA,TOTAL,T,PC_ACT,LU	4.9 	4.9 	4.9 	4.9 	5.0 	5.2 	5.2 	5.3 	5.5 	5.6 	5.7 	: 
M,SA,TOTAL,T,PC_ACT,LV	6.2 	6.1 	6.0 	6.2 	6.4 	6.6 	6.6 	6.6 	6.5 	6.5 	6.6 	: 
